,fantasy_pts,fg_made,fg_missed,opponent,pass_att,pass_tds,pass_yds,player_id,player_name,player_team,position,rec_recs,rec_tds,rec_yds,result,rush_att,rush_tds,rush_yds,turnovers,twoptm,week,xp_made,year
9031,5.0,0,0,STL,37,1,194,00-0025708,M.Moore,CAR,QB,0,0,0,False,1,0,5,3,0,8,0,2010
9032,5.0,0,0,CAR,0,0,0,00-0022736,S.Jackson,STL,RB,1,0,4,True,23,0,59,0,0,8,0,2010
9033,3.0,0,0,CAR,0,0,0,00-0025462,L.Robinson,STL,,5,0,33,True,0,0,0,0,0,8,0,2010
9034,6.0,2,1,CAR,0,0,0,00-0021940,Josh.Brown,STL,K,0,0,0,True,0,0,0,0,0,8,2,2010
9035,3.0,0,0,STL,0,0,0,00-0026153,J.Stewart,CAR,RB,1,0,8,False,14,0,30,0,0,8,0,2010
9036,0.0,0,0,STL,0,0,0,00-0019921,J.Baker,CAR,,0,0,0,False,0,0,0,0,0,8,0,2010
9037,1.0,0,0,CAR,0,0,0,00-0027732,M.Hoomanawanui,STL,TE,2,0,19,True,0,0,0,0,0,8,0,2010
9038,2.0,0,0,STL,0,0,0,00-0024369,J.King,CAR,TE,2,0,22,False,0,0,0,0,0,8,0,2010
9039,-2.0,0,0,STL,0,0,0,00-0027795,D.Gettis,CAR,,0,0,0,False,1,0,-11,0,0,8,0,2010
9040,1.0,0,0,STL,0,0,0,00-0025542,D.Rosario,CAR,TE,2,0,16,False,0,0,0,0,0,8,0,2010
9041,0.0,0,0,CAR,0,0,0,00-0025633,K.Darby,STL,,1,0,5,True,1,0,1,0,0,8,0,2010
9042,10.0,0,0,STL,0,0,0,00-0027681,B.LaFell,CAR,WR,4,1,40,False,0,0,0,0,0,8,0,2010
9043,0.0,0,0,STL,0,0,0,00-0009028,J.Kasay,CAR,,0,0,0,False,0,0,0,0,0,8,0,2010
9044,0.0,0,0,STL,0,0,0,00-0026281,G.Barnidge,CAR,TE,0,0,0,False,0,0,0,0,0,8,0,2010
9045,0.0,0,0,CAR,0,0,0,00-0023558,J.Brown,STL,,0,0,0,True,0,0,0,0,0,8,0,2010
9046,0.0,0,0,STL,0,0,0,00-0026715,G.Williams,CAR,G,0,0,0,False,0,0,0,0,0,8,0,2010
9047,0.0,0,0,STL,0,0,0,00-0025544,D.Clowney,CAR,,1,0,7,False,0,0,0,0,0,8,0,2010
9048,-2.0,0,1,GB,0,0,0,00-0025565,N.Folk,NYJ,K,0,0,0,False,0,0,0,0,0,8,0,2010
9049,5.0,0,0,NYJ,0,0,0,00-0026176,J.Nelson,GB,WR,5,0,55,True,0,0,0,0,0,8,0,2010
9050,6.0,0,0,NYJ,0,0,0,00-0025450,B.Jackson,GB,,2,0,17,True,15,0,55,0,0,8,0,2010
9051,6.0,0,0,NYJ,34,0,170,00-0023459,A.Rodgers,GB,QB,0,0,0,True,3,0,5,0,0,8,0,2010
9052,0.0,0,0,NYJ,0,0,0,00-0004541,D.Driver,GB,,0,0,0,True,0,0,0,0,0,8,0,2010
9053,0.0,0,0,NYJ,0,0,0,00-0026664,T.Masthay,GB,P,0,0,0,True,0,0,0,0,0,8,0,2010
9054,0.0,0,0,GB,0,0,0,00-0027879,K.Wilson,NYJ,CB,0,0,0,False,0,0,0,0,0,8,0,2010
9055,8.0,0,0,GB,0,0,0,00-0020536,L.Tomlinson,NYJ,,5,0,37,False,16,0,54,0,0,8,0,2010
